Round,Player_1,Player_2
1,Sinner J.,Rinderknech A.
1,Atmane T.,Gasquet R.
1,Lehecka J.,Thompson J.
1,Ruiz P. Llamas,Fokina A. Davidovich
1,Rublev A.,Harris L.
1,Marterer M.,Walton A.
1,Carabelli C. Ugo,Munar J.
1,Jarry N.,Fils A.
1,Minaur A. de,Djere L.
1,Bublik A.,Duckworth J.
1,Basilashvili N.,Rocha H.
1,Muller A.,Mensik J.
1,Hurkacz H.,Fonseca J.
1,Herbert P.,Bonzi B.
1,Monfils G.,Dellien H.
1,Bellucci M.,Draper J.
1,Zverev A.,Tien L.
1,Jong J. De,Passaro F.
1,Cilic M.,Cobolli F.
1,Arnaldi M.,Auger-Aliassime F.
1,Cerundolo F.,Diallo G.
1,Giron M.,Griekspoor T.
1,Shevchenko A.,Lajovic D.
1,Quinn E.,Dimitrov G.
1,Medvedev D.,Norrie C.
1,Kovacevic A.,Gomez F.
1,Fearnley J.,Wawrinka S.
1,O'Connell C.,Humbert U.
1,Shapovalov D.,Martinez P.
1,Misolic F.,Bu Y.
1,Moutet C.,Tabur C.
1,McDonald M.,Djokovic N.
1,Musetti L.,Hanfmann Y.
1,Royer V.,Galan D.
1,Opelka R.,Hijikata R.
1,Navone M.,Nakashima B.
1,Machac T.,Halys Q.
1,Kecmanovic M.,Baez S.
1,Nava E.,Zandschulp B. Van de
1,Agut R. Bautista,Rune H.
1,Tiafoe F.,Safiullin R.
1,Busta P. Carreno,Comesana F.
1,Brooksby J.,Faria J.
1,Darderi L.,Korda S.
1,Michelsen A.,Cerundolo J.
1,Majchrzak K.,Medjedovic H.
1,Kopriva V.,Monteiro T.
1,Altmaier D.,Fritz T.
1,Ruud C.,Ramos-Vinolas A.
1,Jacquet K.,Borges N.
1,Tabilo A.,Cazaux A.
1,Nishioka Y.,Popyrin A.
1,Khachanov K.,Vukic A.
1,Ofner S.,Struff J.
1,Fucsovics M.,Schoolkate T.
1,Moller E.,Paul T.
1,Shelton B.,Sonego L.
1,Gaston H.,Blanchet U.
1,Hassan B.,Gigante M.
1,Etcheverry T.,Tsitsipas S.
1,Perricard G. Mpetshi,Bergs Z.
1,Tirante T.,Dzumhur D.
1,Marozsan F.,Nardi L.
1,Zeppieri G.,Alcaraz C.
2,Sinner J.,Gasquet R.
2,Lehecka J.,Fokina A. Davidovich
2,Rublev A.,Walton A.
2,Munar J.,Fils A.
2,Minaur A. de,Bublik A.
2,Rocha H.,Mensik J.
2,Fonseca J.,Herbert P.
2,Monfils G.,Draper J.
2,Zverev A.,Jong J. De
2,Cobolli F.,Arnaldi M.
2,Diallo G.,Griekspoor T.
2,Shevchenko A.,Quinn E.
2,Norrie C.,Gomez F.
2,Fearnley J.,Humbert U.
2,Shapovalov D.,Misolic F.
2,Moutet C.,Djokovic N.
2,Musetti L.,Galan D.
2,Opelka R.,Navone M.
2,Halys Q.,Kecmanovic M.
2,Nava E.,Rune H.
2,Tiafoe F.,Busta P. Carreno
2,Brooksby J.,Korda S.
2,Cerundolo J.,Medjedovic H.
2,Kopriva V.,Altmaier D.
2,Ruud C.,Borges N.
2,Tabilo A.,Popyrin A.
2,Khachanov K.,Ofner S.
2,Fucsovics M.,Paul T.
2,Shelton B.,Gaston H.
2,Gigante M.,Tsitsipas S.
2,Perricard G. Mpetshi,Dzumhur D.
2,Marozsan F.,Alcaraz C.
3,Sinner J.,Lehecka J.
3,Rublev A.,Fils A.
3,Bublik A.,Rocha H.
3,Fonseca J.,Draper J.
3,Zverev A.,Cobolli F.
3,Griekspoor T.,Quinn E.
3,Norrie C.,Fearnley J.
3,Misolic F.,Djokovic N.
3,Musetti L.,Navone M.
3,Halys Q.,Rune H.
3,Tiafoe F.,Korda S.
3,Medjedovic H.,Altmaier D.
3,Borges N.,Popyrin A.
3,Khachanov K.,Paul T.
3,Shelton B.,Gigante M.
3,Dzumhur D.,Alcaraz C.
4,Sinner J.,Rublev A.
4,Bublik A.,Draper J.
4,Zverev A.,Griekspoor T.
4,Norrie C.,Djokovic N.
4,Musetti L.,Rune H.
4,Tiafoe F.,Altmaier D.
4,Popyrin A.,Paul T.
4,Shelton B.,Alcaraz C.
5,Sinner J.,Bublik A.
5,Zverev A.,Djokovic N.
5,Musetti L.,Tiafoe F.
5,Paul T.,Alcaraz C.
6,Sinner J.,Djokovic N.
6,Musetti L.,Alcaraz C.
7,Sinner J.,Alcaraz C.
